City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,plettenberg bay,-34.0527,23.3716,17.3,86,72,2.16,ZA,1678138703
191,kihei,20.785,-156.4656,26.65,76,20,8.75,US,1678138703
192,owo,7.1962,5.5868,23.15,83,100,3.03,NG,1678138703
193,baykit,61.67,96.37,-13.01,97,100,1.56,RU,1678138704
194,ponta do sol,32.6667,-17.1,20.0,92,87,2.81,PT,1678138704
195,lavrentiya,65.5833,-171.0,-7.65,94,100,4.19,RU,1678138704
196,shache,38.4167,77.2406,9.27,37,54,2.05,CN,1678138705
197,salair,54.2312,85.7972,-1.26,90,100,8.32,RU,1678138705
198,columbine,39.5878,-105.0694,10.64,36,40,6.26,US,1678138559
199,longyearbyen,78.2186,15.6401,-15.09,47,40,8.75,SJ,1678138706
200,bitung,1.4451,125.1824,24.47,86,56,3.3,ID,1678138706
201,lasa,46.6166,10.7002,3.49,92,96,1.25,IT,1678138707
202,dingle,10.9995,122.6711,22.32,91,4,3.69,PH,1678138707
203,laguna,38.421,-121.4238,12.84,59,75,4.63,US,1678138707
204,khatanga,71.9667,102.5,-30.1,100,99,1.97,RU,1678138708
205,port elizabeth,-33.918,25.5701,18.51,91,75,2.57,ZA,1678138708
206,geraldton,-28.7667,114.6,14.23,88,0,3.09,AU,1678138709
207,malinyi,-8.9333,36.1333,22.71,83,100,0.7,TZ,1678138709
208,adrar,20.5022,-10.0711,24.82,10,100,4.06,MR,1678138709
209,chuy,-33.6971,-53.4616,22.24,75,71,4.4,UY,1678138710
210,halifax,44.6453,-63.5724,0.19,88,75,7.2,CA,1678138710
211,ambajogai,18.7333,76.3833,22.37,45,57,4.36,IN,1678138711
212,la rioja,42.25,-2.5,0.88,84,100,2.47,ES,1678138711
213,puerto escondido,15.85,-97.0667,30.46,70,40,6.17,MX,1678138712
214,hamilton,39.1834,-84.5333,23.97,40,0,10.29,US,1678138450
215,coquimbo,-29.9533,-71.3436,21.85,68,20,5.66,CL,1678138712
216,verkhoyansk,67.5447,133.385,-32.67,100,95,0.75,RU,1678138712
217,chunhuhub,19.55,-88.6833,33.98,29,38,3.83,MX,1678138713
218,okitipupa,6.5047,4.7839,23.87,92,100,2.07,NG,1678138713
219,nago,26.5881,127.9761,13.47,65,3,3.19,JP,1678138713
220,auki,-8.7676,160.7034,27.07,84,100,3.37,SB,1678138714
221,saskylakh,71.9167,114.0833,-27.41,99,100,1.76,RU,1678138714
222,vanimo,-2.6741,141.3028,24.63,87,100,1.55,PG,1678138714
223,grand forks,47.9417,-97.4337,-12.9,61,0,11.83,US,1678138656
224,salalah,17.0151,54.0924,25.05,33,0,1.03,OM,1678138715
225,tasiilaq,65.6145,-37.6368,-5.91,78,100,2.17,GL,1678138715
226,catia la mar,10.6038,-67.0303,31.11,79,40,3.09,VE,1678138715
227,kamiiso,41.8167,140.65,7.21,87,75,6.17,JP,1678138715
228,port hedland,-20.3167,118.5667,28.03,69,6,4.12,AU,1678138716
229,progreso,21.2833,-89.6667,34.5,67,55,7.78,MX,1678138653
230,andenes,69.3143,16.1194,-3.93,68,75,7.72,NO,1678138716
231,saint-augustin,51.226,-58.6502,1.11,99,100,5.41,CA,1678138716
232,taoudenni,22.6783,-3.9836,27.26,11,98,3.76,ML,1678138717
233,ayacucho,-13.1583,-74.2239,22.92,38,75,3.09,PE,1678138717
234,madang,-5.2246,145.7966,24.65,93,100,1.85,PG,1678138717
235,les cayes,18.2,-73.75,26.39,65,70,1.93,HT,1678138718
236,takoradi,4.8845,-1.7554,26.77,84,70,5.37,GH,1678138718
237,talnakh,69.4865,88.3972,-21.0,96,99,2.88,RU,1678138718
238,ko samui,9.5357,99.9357,26.13,72,10,3.66,TH,1678138718
239,kahului,20.8947,-156.47,26.65,75,20,8.75,US,1678138719
240,sechura,-5.5569,-80.8222,26.62,68,100,8.81,PE,1678138719
241,upernavik,72.7868,-56.1549,-9.55,88,30,3.12,GL,1678138719
242,gari,59.4307,62.3497,-21.22,100,86,0.94,RU,1678138720
243,mareeba,-17.0,145.4333,23.02,96,88,1.3,AU,1678138720
244,mbanza-ngungu,-5.25,14.8667,21.7,95,100,1.85,CD,1678138720
245,balabac,7.9868,117.0645,26.09,77,19,6.42,PH,1678138448
246,danielskuil,-28.1887,23.5395,17.92,30,1,3.14,ZA,1678138720
247,karratha,-20.7377,116.8463,28.76,76,5,1.93,AU,1678138721
248,mayo,38.8876,-76.5119,16.4,49,0,3.13,US,1678138721
249,nurota,40.5614,65.6886,17.18,45,75,8.48,UZ,1678138721
250,mayor pablo lagerenza,-19.9309,-60.7718,36.06,33,29,3.71,PY,1678138722
251,yazman,29.1212,71.7446,22.22,30,12,2.66,PK,1678138722
252,saint-georges,12.0564,-61.7485,27.82,69,20,8.23,GD,1678138722
253,torbay,47.6666,-52.7314,-0.79,87,75,3.09,CA,1678138563
